Fx,Fy,Fz,Tx,Ty,Tz
-0.982733263882423,-4.59066511914539,-0.641194750865083,-0.20434649766754,0.0094018532739224,-0.0070907025597973
-1.08070041171242,-4.49291302487539,-0.772946765025083,-0.19890733541254,0.0188037074015725,-0.0092003325931573
-1.08070041171242,-4.41959931179539,-0.509442259865084,-0.19346817315854,0.0225644494251625,-0.0120131726376573
-1.12968398562242,-4.41959931179539,-0.641194750865083,-0.19346817315854,0.0272653761397415,-0.0120131726376573
-1.20315934649242,-4.44403721615539,-0.641194750865083,-0.19528122724354,0.0319663030871525,-0.0127163826487573
-1.20315934649242,-4.49291302487539,-0.772946765025083,-0.19709428132854,0.0319663030871525,-0.0134195935912573
-1.10519219866242,-4.49291302487539,-0.772946765025083,-0.19981386245554,0.0263251907502625,-0.0148260126821573
-1.08070041171242,-4.49291302487539,-0.904699256025084,-0.20072038949754,0.0253850054771925,-0.0162324345670573
-1.08070041171242,-4.59066511914539,-0.509442259865084,-0.19528122724354,0.0225644494251625,-0.0190452746115573
-0.982733263882423,-4.44403721615539,-0.641194750865083,-0.19528122724354,0.0150429663093225,-0.0183420646004573
-0.982733263882423,-4.44403721615539,-0.904699256025084,-0.19165510417254,0.0169233373211225,-0.0169356445781573
-0.982733263882423,-4.59066511914539,-0.904699256025084,-0.20434649766754,0.0150429663093225,-0.0148260126821573
-0.982733263882423,-4.66397883221539,-0.772946765025083,-0.20797260583654,0.0159831513495225,-0.0134195935912573
-1.00722505084242,-4.68841673657539,-0.904699256025084,-0.21069220186554,0.0206840784133725,-0.0155292245559573
-1.00722505084242,-4.76173044964539,-0.904699256025084,-0.21613136411954,0.0197438933731325,-0.0141228036023573
-0.958241476922423,-4.76173044964539,-1.16820376117508,-0.21885094524654,0.0169233373211225,-0.0141228036023573
-0.909257903012423,-4.78616835400539,-0.904699256025084,-0.21703789116154,0.0141027803377225,-0.0169356445781573
-0.909257903012423,-4.76173044964539,-0.904699256025084,-0.21250525594954,0.0150429663093225,-0.0183420646004573
-0.884766116052423,-4.76173044964539,-0.904699256025084,-0.21885094524654,0.0112822252170225,-0.0211549046449573
-0.835782482537423,-4.81060625836539,-0.904699256025084,-0.22157052637354,0.0094018532739224,-0.0225613246671573
-0.860274329102423,-4.83504416272539,-0.509442259865084,-0.21794441820454,0.0047009262101224,-0.0274837966076573
-0.786798908623423,-4.81060625836539,-0.641194750865083,-0.21794441820454,0.0094018532739224,-0.0260773747228573
-0.811290695580423,-4.76173044964539,-0.904699256025084,-0.21522483707754,0.0084616682337224,-0.0267805847339573
-0.811290695580423,-4.71285464093539,-0.904699256025084,-0.21341178299254,0.0112822252170225,-0.0239677446894573
-0.835782482537423,-4.61510302349539,-0.772946765025083,-0.20887914778054,0.0131625952975225,-0.0225613246671573
-0.909257903012423,-4.51735092923539,-0.904699256025084,-0.20162691654054,0.0150429663093225,-0.0197484846226573
